Name;XT;Module;Channel

WATER_M_1;AI;1;1
ADDITION_M_1;AI;1;3
CEMENT_M_1;AI;1;5
FILLERS_M_1;AI;1;7

MIXER_I_1;AI;2;1

DWATER_CLOSED_1;DI;3;1
DADDITIONS_CLOSED_1;DI;3;2
DCEMENT_CLOSED_1;DI;3;3
CONVEYOR_ISON_1;DI;3;4
TCONVEYOR_ISON_1;DI;3;5
GWATER_CLOSED_1;DI;3;6
GADDITIONS_CLOSED_1;DI;3;7
GCEMENT_CLOSED_1;DI;3;8

GFEEDER_OPENED_1;DI;4;1
GFEEDER_OPENED_2;DI;4;2
MIXER_ISON_1;DI;4;3
MIXER_CLOSED_1;DI;4;4
MIXER_OPENED_1;DI;4;5
MIN_1;DI;4;6
MAX_1;DI;4;7
MIN_2;DI;4;8

MAX_2;DI;5;1
AUGER_ISON_1;DI;5;2
AUGER_ISON_2;DI;5;3
APUMP_ISON_1;DI;5;4
APUMP_ISON_2;DI;5;5
BELT_1;DI;5;6
BELT_2;DI;5;7
GADDITIONS_CLOSED_2;DI;5;8

WPUMP_ISON_1;DI;6;1
POWERFAIL;DI;6;2
ACCIDENT;DI;6;3

DWATER_OPEN_1;DO;7;1
DADDITIONS_OPEN_1;DO;7;2
DCEMENT_OPEN_1;DO;7;3
GWATER_OPEN_1;DO;7;4
GADDITIONS_OPEN_1;DO;7;5
GADDITIONS_OPEN_2;DO;7;6
GCEMENT_OPEN_1;DO;7;7
FEEDER_OPEN_1;DO;7;8

FEEDER_OPEN_2;DO;8;1
AERATOR_ON_1;DO;8;2
AERATOR_ON_2;DO;8;3
FVIBRATOR_ON_1;DO;8;4
FVIBRATOR_ON_2;DO;8;5
SVIBRATOR_ON_1;DO;8;6
SVIBRATOR_ON_2;DO;8;7
CVIBRATOR_ON_1;DO;8;8

PVIBRATOR_ON_1;DO;9;1
MIXER_ON_1;DO;9;2
MIXER_OFF_1;DO;9;3
APUMP_ON_1;DO;9;4
APUMP_ON_2;DO;9;5
MIXER_OPEN_1;DO;9;6
CONVEYOR_ON_1;DO;9;7
TCONVEYOR_ON_1;DO;9;8

CALL_ON_1;DO;10;1
WPUMP_ON_1;DO;10;2
AUGER_ON_1;DO;10;3
AUGER_ON_2;DO;10;4

