Name;XT;Module;Channel

WATER_M_1;AI;1;1
ADDITION_M_1;AI;1;3
CEMENT_M_1;AI;1;5
FILLERS_M_1;AI;1;7

MIXER_I_1;AI;2;1

DWATER_OPEN_1;DO;3;1
DADDITIONS_OPEN_1;DO;3;2
DCEMENT_OPEN_1;DO;3;3
GWATER_OPEN_1;DO;3;4
GADDITIONS_OPEN_1;DO;3;5
GADDITIONS_OPEN_2;DO;3;6
GCEMENT_OPEN_1;DO;3;7
FEEDER_OPEN_1;DO;3;8

FEEDER_OPEN_2;DO;4;1
AERATOR_ON_1;DO;4;2
AERATOR_ON_2;DO;4;3
FVIBRATOR_ON_1;DO;4;4
FVIBRATOR_ON_2;DO;4;5
SVIBRATOR_ON_1;DO;4;6
SVIBRATOR_ON_2;DO;4;7
CVIBRATOR_ON_1;DO;4;8

PVIBRATOR_ON_1;DO;5;1
MIXER_ON_1;DO;5;2
MIXER_OFF_1;DO;5;3
APUMP_ON_1;DO;5;4
APUMP_ON_2;DO;5;5
MIXER_OPEN_1;DO;5;6
CONVEYOR_ON_1;DO;5;7
TCONVEYOR_ON_1;DO;5;8

CALL_ON_1;DO;6;1
WPUMP_ON_1;DO;6;2
AUGER_ON_1;DO;6;3
AUGER_ON_2;DO;6;4

DWATER_CLOSED_1;DI;7;1
DADDITIONS_CLOSED_1;DI;7;2
DCEMENT_CLOSED_1;DI;7;3
CONVEYOR_ISON_1;DI;7;4
TCONVEYOR_ISON_1;DI;7;5
GWATER_CLOSED_1;DI;7;6
GADDITIONS_CLOSED_1;DI;7;7
GCEMENT_CLOSED_1;DI;7;8

GFEEDER_OPENED_1;DI;8;1
GFEEDER_OPENED_2;DI;8;2
MIXER_ISON_1;DI;8;3
MIXER_CLOSED_1;DI;8;4
MIXER_OPENED_1;DI;8;5
MIN_1;DI;8;6
MAX_1;DI;8;7
MIN_2;DI;8;8

MAX_2;DI;9;1
AUGER_ISON_1;DI;9;2
AUGER_ISON_2;DI;9;3
APUMP_ISON_1;DI;9;4
APUMP_ISON_2;DI;9;5
BELT_1;DI;9;6
BELT_2;DI;9;7
GADDITIONS_CLOSED_2;DI;9;8

WPUMP_ISON_1;DI;10;1
POWERFAIL;DI;10;2
ACCIDENT;DI;10;3

